uuid,sex,age,region
f6abadc4-1fa9-4cdf-bcaf-23fbe23b685f,Masculino,40,Fuera de Chile
f6abadc4-1fa9-4cdf-bcaf-23fbe23b685f,Masculino,40,Fuera de Chile
3ad876f5-a3f3-4aa9-acab-4cb4f727c9ec,Masculino,26,Metropolitana de Santiago
1d6ca286-e6b5-4319-a74c-6dfc7e1a9ebd,Masculino,33,Metropolitana de Santiago
1d6ca286-e6b5-4319-a74c-6dfc7e1a9ebd,Masculino,33,Metropolitana de Santiago
1d6ca286-e6b5-4319-a74c-6dfc7e1a9ebd,Masculino,33,Metropolitana de Santiago
021ecc96-5d57-4643-a8e6-4f38aebad842,Femenino,38,Metropolitana de Santiago
021ecc96-5d57-4643-a8e6-4f38aebad842,Femenino,38,Metropolitana de Santiago
021ecc96-5d57-4643-a8e6-4f38aebad842,Femenino,38,Metropolitana de Santiago
cc1274c2-250c-45c9-8c6f-756743fd709f,Femenino,26,Metropolitana de Santiago
cc1274c2-250c-45c9-8c6f-756743fd709f,Femenino,26,Metropolitana de Santiago
cc1274c2-250c-45c9-8c6f-756743fd709f,Femenino,26,Metropolitana de Santiago
eb6a2f19-781a-40fe-ba6f-03e90fb4aa7e,Masculino,42,Ñuble
641f2efd-19b8-4a40-aa48-dd9edec3d3cf,Masculino,40,Metropolitana de Santiago
eb6a2f19-781a-40fe-ba6f-03e90fb4aa7e,Masculino,42,Ñuble
fc1f31a6-7a70-4e63-bb1e-21814e32538b,Masculino,30,Metropolitana de Santiago
641f2efd-19b8-4a40-aa48-dd9edec3d3cf,Masculino,40,Metropolitana de Santiago
b7b0b844-1331-4835-9aa3-0dab4ca29909,Femenino,43,Metropolitana de Santiago
fc1f31a6-7a70-4e63-bb1e-21814e32538b,Masculino,30,Metropolitana de Santiago
fc1f31a6-7a70-4e63-bb1e-21814e32538b,Masculino,30,Metropolitana de Santiago
fc1f31a6-7a70-4e63-bb1e-21814e32538b,Masculino,30,Metropolitana de Santiago
fc1f31a6-7a70-4e63-bb1e-21814e32538b,Masculino,30,Metropolitana de Santiago
fc1f31a6-7a70-4e63-bb1e-21814e32538b,Masculino,30,Metropolitana de Santiago
b7b0b844-1331-4835-9aa3-0dab4ca29909,Femenino,43,Metropolitana de Santiago
2256a9dd-ea95-45d0-9b25-63fb94de44f1,Masculino,28,Biobío
2256a9dd-ea95-45d0-9b25-63fb94de44f1,Masculino,28,Biobío
2256a9dd-ea95-45d0-9b25-63fb94de44f1,Masculino,28,Biobío
96a4662f-ce8c-4023-be3b-eb641c22c91e,Masculino,25,Valparaíso
96a4662f-ce8c-4023-be3b-eb641c22c91e,Masculino,25,Valparaíso
96a4662f-ce8c-4023-be3b-eb641c22c91e,Masculino,25,Valparaíso
96a4662f-ce8c-4023-be3b-eb641c22c91e,Masculino,25,Valparaíso
7df52a57-ff96-4b3a-99dd-591451da0451,Masculino,28,Metropolitana de Santiago
7df52a57-ff96-4b3a-99dd-591451da0451,Masculino,28,Metropolitana de Santiago
0bb29bda-5680-4afd-8e45-3e138048fad5,Masculino,34,Metropolitana de Santiago
6b4fc09b-761f-4ae9-a43a-6dc6eacdd971,Femenino,19,Valparaíso
60a6c030-1997-4894-84ef-2f7859d59527,Femenino,45,Metropolitana de Santiago
a4c3e3f2-3a30-4d28-bd8f-78f336a268c6,Masculino,50,Metropolitana de Santiago
a4983451-9811-4d4b-b989-c2b2e53c0a12,Masculino,26,Metropolitana de Santiago
7988a45d-2c02-40e8-9fda-58a50734db44,Masculino,42,Metropolitana de Santiago
a1a608af-5655-4109-9e54-a31e686a37a5,Masculino,53,Metropolitana de Santiago
b2a87b94-8eaa-4890-8b88-4f24357e1dd7,Masculino,28,Valparaíso
0757f03f-f611-45df-80a9-6d54408b887d,Masculino,33,Metropolitana de Santiago
6783f97c-c1e6-4c7b-9e30-e465b00fcc9c,Masculino,36,Metropolitana de Santiago
59b0cae5-4605-4d5a-ad0a-30103314b751,Femenino,34,Metropolitana de Santiago
f57c07c0-d163-415c-8055-7a8e246e4758,Femenino,52,Biobío
a8a3907e-dd72-410c-b6a1-b5b1570d3bb4,Masculino,33,Metropolitana de Santiago
a8a3907e-dd72-410c-b6a1-b5b1570d3bb4,Masculino,33,Metropolitana de Santiago
327bcccc-2300-4151-b30a-5a70cc3bbee7,Masculino,44,Metropolitana de Santiago
327bcccc-2300-4151-b30a-5a70cc3bbee7,Masculino,44,Metropolitana de Santiago
ed237e82-9532-4d91-98ac-07516070693c,Femenino,29,Fuera de Chile
4805d147-7a14-4825-b49a-bcf205a552c6,Masculino,30,Fuera de Chile
99ac3b85-72eb-4b6c-b933-68cbd2838dbd,Masculino,27,Metropolitana de Santiago
3cd54f2e-34e8-4031-90fe-c4dd806c06d7,Femenino,31,Metropolitana de Santiago
a81d916c-c319-43e0-9860-410a1099782b,Masculino,37,Metropolitana de Santiago
a81d916c-c319-43e0-9860-410a1099782b,Masculino,37,Metropolitana de Santiago
a92a9c79-f080-4f11-a821-74cd808b02d8,Masculino,37,Araucanía
4fdee5ad-dd14-4ff3-b844-ebd1947ef57f,Femenino,42,Metropolitana de Santiago
a92a9c79-f080-4f11-a821-74cd808b02d8,Masculino,37,Araucanía
4fdee5ad-dd14-4ff3-b844-ebd1947ef57f,Femenino,42,Metropolitana de Santiago
129ddb10-72d8-4774-8d09-15764a9b417c,Masculino,33,Metropolitana de Santiago
87071599-348e-4843-b6d7-bdee54f595f6,Femenino,30,Araucanía
89d134c4-dd24-4ee1-abf6-7be1e7fad269,Masculino,20,Metropolitana de Santiago
87071599-348e-4843-b6d7-bdee54f595f6,Femenino,30,Araucanía
4ca8b3c7-4d41-411f-83a0-7282dde8175a,Masculino,25,Metropolitana de Santiago
3aa3b52f-0386-4346-a933-bac95ca27ffe,Otro,23,Metropolitana de Santiago
4ca8b3c7-4d41-411f-83a0-7282dde8175a,Masculino,25,Metropolitana de Santiago
4ca8b3c7-4d41-411f-83a0-7282dde8175a,Masculino,25,Metropolitana de Santiago
3aa3b52f-0386-4346-a933-bac95ca27ffe,Otro,23,Metropolitana de Santiago
3aa3b52f-0386-4346-a933-bac95ca27ffe,Otro,23,Metropolitana de Santiago
4ca8b3c7-4d41-411f-83a0-7282dde8175a,Masculino,25,Metropolitana de Santiago
3aa3b52f-0386-4346-a933-bac95ca27ffe,Otro,23,Metropolitana de Santiago
3aa3b52f-0386-4346-a933-bac95ca27ffe,Otro,23,Metropolitana de Santiago
4e1447db-4c01-4030-950e-5ebda5efc82b,Masculino,26,Metropolitana de Santiago
4e1447db-4c01-4030-950e-5ebda5efc82b,Masculino,26,Metropolitana de Santiago
3ff55dcd-98ea-44cd-a271-b16b9aad7543,Femenino,32,Biobío
b8a0b3af-ee7b-4de5-914a-82ec56c0cdaf,Masculino,44,Coquimbo
3ff55dcd-98ea-44cd-a271-b16b9aad7543,Femenino,32,Biobío
b8a0b3af-ee7b-4de5-914a-82ec56c0cdaf,Masculino,44,Coquimbo
13c95cf6-8e58-447e-8f22-b2130fe58151,Masculino,36,Metropolitana de Santiago
13c95cf6-8e58-447e-8f22-b2130fe58151,Masculino,36,Metropolitana de Santiago
ac8d6c35-d352-4bc9-afc6-5ba1ae3e49a2,Femenino,-54,Valparaíso
ac8d6c35-d352-4bc9-afc6-5ba1ae3e49a2,Femenino,-54,Valparaíso
301a5459-2398-4c94-ba7a-0d4ed5b1c152,Masculino,25,Metropolitana de Santiago
3657c4fd-00e7-49eb-babd-eaa0e1cc5587,Masculino,36,Metropolitana de Santiago
870d62d9-92f1-44ae-915c-cf1d07cb4d21,Masculino,44,Metropolitana de Santiago
870d62d9-92f1-44ae-915c-cf1d07cb4d21,Masculino,44,Metropolitana de Santiago
42105ad8-d416-4599-a431-7cf3c73b0995,Masculino,46,Metropolitana de Santiago
568078ad-7cf5-4011-9422-eb2105d4abc8,Masculino,26,Los Ríos
568078ad-7cf5-4011-9422-eb2105d4abc8,Masculino,26,Los Ríos
568078ad-7cf5-4011-9422-eb2105d4abc8,Masculino,26,Los Ríos
568078ad-7cf5-4011-9422-eb2105d4abc8,Masculino,26,Los Ríos
568078ad-7cf5-4011-9422-eb2105d4abc8,Masculino,26,Los Ríos
568078ad-7cf5-4011-9422-eb2105d4abc8,Masculino,26,Los Ríos
56d5d8cc-0d0c-4de5-87ec-920aa1728801,Femenino,29,Maule
b0f9177c-0a17-4bef-b1b6-6ba8cab0e199,Masculino,28,Metropolitana de Santiago
56d5d8cc-0d0c-4de5-87ec-920aa1728801,Femenino,29,Maule
56d5d8cc-0d0c-4de5-87ec-920aa1728801,Femenino,29,Maule
b0f9177c-0a17-4bef-b1b6-6ba8cab0e199,Masculino,28,Metropolitana de Santiago
40f9c4c9-e592-46f7-9b88-1cc6e06b71c1,Femenino,23,Metropolitana de Santiago
1b455126-03a9-4556-bc63-124dfae94737,Masculino,33,Metropolitana de Santiago
0e03d29b-2680-4236-b139-cbb88a30c42b,Masculino,35,Valparaíso
40f9c4c9-e592-46f7-9b88-1cc6e06b71c1,Femenino,23,Metropolitana de Santiago
ffb4078a-9087-4619-89c1-8a5db8f43add,Masculino,30,Metropolitana de Santiago
ffb4078a-9087-4619-89c1-8a5db8f43add,Masculino,30,Metropolitana de Santiago
ffb4078a-9087-4619-89c1-8a5db8f43add,Masculino,30,Metropolitana de Santiago
6ec0ee56-8b1f-4c80-b556-3b0316efaedc,Femenino,45,Metropolitana de Santiago
6ec0ee56-8b1f-4c80-b556-3b0316efaedc,Femenino,45,Metropolitana de Santiago
6ec0ee56-8b1f-4c80-b556-3b0316efaedc,Femenino,45,Metropolitana de Santiago
6ec0ee56-8b1f-4c80-b556-3b0316efaedc,Femenino,45,Metropolitana de Santiago
6ec0ee56-8b1f-4c80-b556-3b0316efaedc,Femenino,45,Metropolitana de Santiago
6ec0ee56-8b1f-4c80-b556-3b0316efaedc,Femenino,45,Metropolitana de Santiago
2f465e3f-f7fe-45ec-ae71-8043c128cb2a,Masculino,28,Valparaíso
00c45c16-b73f-4cc6-bab4-6fc8df386e61,Masculino,43,Metropolitana de Santiago
00c45c16-b73f-4cc6-bab4-6fc8df386e61,Masculino,43,Metropolitana de Santiago
00c45c16-b73f-4cc6-bab4-6fc8df386e61,Masculino,43,Metropolitana de Santiago
00c45c16-b73f-4cc6-bab4-6fc8df386e61,Masculino,43,Metropolitana de Santiago
00c45c16-b73f-4cc6-bab4-6fc8df386e61,Masculino,43,Metropolitana de Santiago
00c45c16-b73f-4cc6-bab4-6fc8df386e61,Masculino,43,Metropolitana de Santiago
fd2a534d-0ef9-4409-83c9-86d8e9a23696,Masculino,37,Metropolitana de Santiago
fd2a534d-0ef9-4409-83c9-86d8e9a23696,Masculino,37,Metropolitana de Santiago
f4d86a49-40be-4492-aa22-52e8d1934385,Masculino,41,Metropolitana de Santiago
f4d86a49-40be-4492-aa22-52e8d1934385,Masculino,41,Metropolitana de Santiago
f4d86a49-40be-4492-aa22-52e8d1934385,Masculino,41,Metropolitana de Santiago
f4d86a49-40be-4492-aa22-52e8d1934385,Masculino,41,Metropolitana de Santiago
b840efe4-00a6-4334-b922-1731c7156bf8,Femenino,55,Metropolitana de Santiago
b840efe4-00a6-4334-b922-1731c7156bf8,Femenino,55,Metropolitana de Santiago
b840efe4-00a6-4334-b922-1731c7156bf8,Femenino,55,Metropolitana de Santiago
b840efe4-00a6-4334-b922-1731c7156bf8,Femenino,55,Metropolitana de Santiago
b840efe4-00a6-4334-b922-1731c7156bf8,Femenino,55,Metropolitana de Santiago
b840efe4-00a6-4334-b922-1731c7156bf8,Femenino,55,Metropolitana de Santiago
b840efe4-00a6-4334-b922-1731c7156bf8,Femenino,55,Metropolitana de Santiago
8c75481d-e3da-4d1c-897f-04ae331b0cbe,Femenino,28,Metropolitana de Santiago
057a5888-52ff-4bbf-ab9e-9011b96fbdf8,Masculino,48,Metropolitana de Santiago
06cff118-e44d-4983-8f6b-c94aedbf24b1,Masculino,41,Metropolitana de Santiago
31f6bbdc-296a-4095-a761-6dbb5a659e09,Femenino,35,Valparaíso
3300c553-70e5-4ad1-a769-829e8476a995,Masculino,255,Metropolitana de Santiago
bd08eb9e-5f9d-41b6-b1ca-c1b5655223f1,Masculino,37,Metropolitana de Santiago
27a540e8-7451-4e43-848f-166c3dfb6257,Masculino,35,Valparaíso
73634805-2d74-4718-bf9b-5967622c76d6,Masculino,31,Metropolitana de Santiago
27a540e8-7451-4e43-848f-166c3dfb6257,Masculino,35,Valparaíso
73634805-2d74-4718-bf9b-5967622c76d6,Masculino,31,Metropolitana de Santiago
27a540e8-7451-4e43-848f-166c3dfb6257,Masculino,35,Valparaíso
27a540e8-7451-4e43-848f-166c3dfb6257,Masculino,35,Valparaíso
b49d8ad8-7cb5-41b6-b8b3-c84d9717fac5,Masculino,38,Metropolitana de Santiago
6124facf-3b7c-4d75-953b-3a4be4e59f69,Masculino,48,Valparaíso
6124facf-3b7c-4d75-953b-3a4be4e59f69,Masculino,48,Valparaíso
6124facf-3b7c-4d75-953b-3a4be4e59f69,Masculino,48,Valparaíso
9c57b9e2-d035-4b4d-bf8b-ce85d96968a1,Masculino,23,Ñuble
9c57b9e2-d035-4b4d-bf8b-ce85d96968a1,Masculino,23,Ñuble
28798797-3c5b-4455-952b-467a5c12c4fb,Masculino,32,Los Ríos
28798797-3c5b-4455-952b-467a5c12c4fb,Masculino,32,Los Ríos
28798797-3c5b-4455-952b-467a5c12c4fb,Masculino,32,Los Ríos
28798797-3c5b-4455-952b-467a5c12c4fb,Masculino,32,Los Ríos
28798797-3c5b-4455-952b-467a5c12c4fb,Masculino,32,Los Ríos
28798797-3c5b-4455-952b-467a5c12c4fb,Masculino,32,Los Ríos
28798797-3c5b-4455-952b-467a5c12c4fb,Masculino,32,Los Ríos
28798797-3c5b-4455-952b-467a5c12c4fb,Masculino,32,Los Ríos
cc1274c2-250c-45c9-8c6f-756743fd709f,Femenino,26,Metropolitana de Santiago
aa86b229-8b39-4d9e-a2e6-28ff75116fe8,Femenino,39,Fuera de Chile
aa86b229-8b39-4d9e-a2e6-28ff75116fe8,Femenino,39,Fuera de Chile
bbd34109-708b-4725-9b33-f0e38eb86680,Masculino,30,Metropolitana de Santiago
d4766457-4ee8-47ed-a7a0-8bd317e6baaf,Femenino,27,Biobío
0e03d29b-2680-4236-b139-cbb88a30c42b,Masculino,35,Valparaíso
38d7e0b3-0237-4032-a071-3e1810d521e8,Femenino,36,Fuera de Chile
c36f33a2-12e3-4beb-a595-a77f5d0f98b5,Masculino,38,Biobío
c36f33a2-12e3-4beb-a595-a77f5d0f98b5,Masculino,38,Biobío
8903c8fd-7b07-4aaf-8e08-df054a6e225e,Masculino,47,Fuera de Chile
c36f33a2-12e3-4beb-a595-a77f5d0f98b5,Masculino,38,Biobío
c36f33a2-12e3-4beb-a595-a77f5d0f98b5,Masculino,38,Biobío
c36f33a2-12e3-4beb-a595-a77f5d0f98b5,Masculino,38,Biobío
c36f33a2-12e3-4beb-a595-a77f5d0f98b5,Masculino,38,Biobío
c36f33a2-12e3-4beb-a595-a77f5d0f98b5,Masculino,38,Biobío
c36f33a2-12e3-4beb-a595-a77f5d0f98b5,Masculino,38,Biobío
1782c86c-c9cc-476e-a1aa-19bd2339e1c2,Masculino,-40,Metropolitana de Santiago
7878b60e-9424-4c4b-a12b-f102c5744f70,Masculino,26,Araucanía
1782c86c-c9cc-476e-a1aa-19bd2339e1c2,Masculino,-40,Metropolitana de Santiago
c8f3bc09-3b84-4a94-bbf7-f0d330861390,Masculino,58,Biobío
7878b60e-9424-4c4b-a12b-f102c5744f70,Masculino,26,Araucanía
1782c86c-c9cc-476e-a1aa-19bd2339e1c2,Masculino,-40,Metropolitana de Santiago
1782c86c-c9cc-476e-a1aa-19bd2339e1c2,Masculino,-40,Metropolitana de Santiago
8714fabf-ca83-4949-af01-5a21306fc12a,Femenino,28,Metropolitana de Santiago
8714fabf-ca83-4949-af01-5a21306fc12a,Femenino,28,Metropolitana de Santiago
14348645-06e7-4326-ac98-4396636ca57a,Masculino,41,Metropolitana de Santiago
8714fabf-ca83-4949-af01-5a21306fc12a,Femenino,28,Metropolitana de Santiago
14348645-06e7-4326-ac98-4396636ca57a,Masculino,41,Metropolitana de Santiago
f4d86a49-40be-4492-aa22-52e8d1934385,Masculino,42,Metropolitana de Santiago
8714fabf-ca83-4949-af01-5a21306fc12a,Femenino,28,Metropolitana de Santiago
8714fabf-ca83-4949-af01-5a21306fc12a,Femenino,28,Metropolitana de Santiago
14348645-06e7-4326-ac98-4396636ca57a,Masculino,41,Metropolitana de Santiago
14348645-06e7-4326-ac98-4396636ca57a,Masculino,41,Metropolitana de Santiago
f002fc7d-b1b2-4fe3-8a1d-e250e6ef14d1,Masculino,41,Metropolitana de Santiago
1782c86c-c9cc-476e-a1aa-19bd2339e1c2,Masculino,40,Metropolitana de Santiago
c326b14e-e78d-4113-9939-ddfc98cc21eb,Masculino,27,Metropolitana de Santiago
f002fc7d-b1b2-4fe3-8a1d-e250e6ef14d1,Masculino,41,Metropolitana de Santiago
f002fc7d-b1b2-4fe3-8a1d-e250e6ef14d1,Masculino,41,Metropolitana de Santiago
c326b14e-e78d-4113-9939-ddfc98cc21eb,Masculino,27,Metropolitana de Santiago
f61379e6-eba7-472e-b74b-37c7db33fa93,Masculino,25,Metropolitana de Santiago
c326b14e-e78d-4113-9939-ddfc98cc21eb,Masculino,27,Metropolitana de Santiago
f61379e6-eba7-472e-b74b-37c7db33fa93,Masculino,25,Metropolitana de Santiago
f61379e6-eba7-472e-b74b-37c7db33fa93,Masculino,25,Metropolitana de Santiago
b02b6b43-c4b3-46a6-9b7f-87c6c294ce87,Masculino,35,Valparaíso
f61379e6-eba7-472e-b74b-37c7db33fa93,Masculino,25,Metropolitana de Santiago
c326b14e-e78d-4113-9939-ddfc98cc21eb,Masculino,27,Metropolitana de Santiago
f61379e6-eba7-472e-b74b-37c7db33fa93,Masculino,25,Metropolitana de Santiago
af2615e5-5978-4c0b-b9ca-a0f3b671c2a6,Masculino,32,Fuera de Chile
f61379e6-eba7-472e-b74b-37c7db33fa93,Masculino,25,Metropolitana de Santiago
f61379e6-eba7-472e-b74b-37c7db33fa93,Masculino,25,Metropolitana de Santiago
f61379e6-eba7-472e-b74b-37c7db33fa93,Masculino,25,Metropolitana de Santiago
b02b6b43-c4b3-46a6-9b7f-87c6c294ce87,Masculino,35,Valparaíso
f61379e6-eba7-472e-b74b-37c7db33fa93,Masculino,25,Metropolitana de Santiago
c326b14e-e78d-4113-9939-ddfc98cc21eb,Masculino,27,Metropolitana de Santiago
f61379e6-eba7-472e-b74b-37c7db33fa93,Masculino,25,Metropolitana de Santiago
f61379e6-eba7-472e-b74b-37c7db33fa93,Masculino,25,Metropolitana de Santiago
b679834a-1bed-44fe-a1b7-100de6edc5aa,Masculino,36,Metropolitana de Santiago
8b212d3a-a1e2-425b-830c-1f412c045e12,Masculino,62,Metropolitana de Santiago
d7ae3d85-4c6b-4628-8494-31d4a5ba2d12,Masculino,26,Biobío
5d51d1cd-4832-44e7-8277-f057310e8034,Masculino,36,Metropolitana de Santiago
d7ae3d85-4c6b-4628-8494-31d4a5ba2d12,Masculino,26,Biobío
d7ae3d85-4c6b-4628-8494-31d4a5ba2d12,Masculino,26,Biobío
d7ae3d85-4c6b-4628-8494-31d4a5ba2d12,Masculino,26,Biobío
d7ae3d85-4c6b-4628-8494-31d4a5ba2d12,Masculino,26,Biobío
8b212d3a-a1e2-425b-830c-1f412c045e12,Masculino,62,Metropolitana de Santiago
d7ae3d85-4c6b-4628-8494-31d4a5ba2d12,Masculino,26,Biobío
ab109621-a70d-4113-9f5e-7e6c3be29acf,Masculino,49,Metropolitana de Santiago
6377fafa-b311-4180-8305-e1882afd6702,Masculino,37,Metropolitana de Santiago
550b796b-aac2-4de2-81cf-55644be7d3fa,Masculino,30,Metropolitana de Santiago
f58cc580-1fdd-47d2-84a2-a7344066387e,Femenino,21,Valparaíso
f58cc580-1fdd-47d2-84a2-a7344066387e,Femenino,21,Valparaíso
ab109621-a70d-4113-9f5e-7e6c3be29acf,Masculino,49,Metropolitana de Santiago
ab109621-a70d-4113-9f5e-7e6c3be29acf,Masculino,49,Metropolitana de Santiago
ab109621-a70d-4113-9f5e-7e6c3be29acf,Masculino,49,Metropolitana de Santiago
ab109621-a70d-4113-9f5e-7e6c3be29acf,Masculino,49,Metropolitana de Santiago
